,Unnamed: 0,0,1
0,0.0,Market Cap (intraday) 5,16.94B
1,1.0,Enterprise Value 3,21.84B
2,2.0,Trailing P/E ,43.75
3,3.0,Forward P/E 1,48.90
4,4.0,PEG Ratio (5 yr expected) 1,9.80
5,5.0,Price/Sales (ttm),11.75
6,6.0,Price/Book (mrq),2.58
7,7.0,Enterprise Value/Revenue 3,15.15
8,8.0,Enterprise Value/EBITDA 6,22.25
9,,0,1
10,0.0,Fiscal Year Ends ,"Dec 31, 2017"
11,1.0,Most Recent Quarter (mrq),"Jun 30, 2018"
12,,0,1
13,0.0,Profit Margin ,25.99%
14,1.0,Operating Margin (ttm),35.24%
15,,0,1
16,0.0,Return on Assets (ttm),2.53%
17,1.0,Return on Equity (ttm),6.12%
18,,0,1
19,0.0,Revenue (ttm),1.44B
20,1.0,Revenue Per Share (ttm),21.83
21,2.0,Quarterly Revenue Growth (yoy),3.70%
22,3.0,Gross Profit (ttm),987.93M
23,4.0,EBITDA ,981.9M
24,5.0,Net Income Avi to Common (ttm),374.69M
25,6.0,Diluted EPS (ttm),5.67
26,7.0,Quarterly Earnings Growth (yoy),41.90%
27,,0,1
28,0.0,Total Cash (mrq),169.4M
29,1.0,Total Cash Per Share (mrq),2.57
30,2.0,Total Debt (mrq),5.69B
31,3.0,Total Debt/Equity (mrq),87.41
32,4.0,Current Ratio (mrq),0.84
33,5.0,Book Value Per Share (mrq),96.20
34,,0,1
35,0.0,Operating Cash Flow (ttm),817.15M
36,1.0,Levered Free Cash Flow (ttm),629.01M
37,,0,1
38,0.0,Beta (3Y Monthly) ,0.50
39,1.0,52-Week Change 3,-2.45%
40,2.0,S&P500 52-Week Change 3,5.16%
41,3.0,52 Week High 3,264.07
42,4.0,52 Week Low 3,214.03
43,5.0,50-Day Moving Average 3,245.36
44,6.0,200-Day Moving Average 3,240.27
45,,0,1
46,0.0,Avg Vol (3 month) 3,388.12k
47,1.0,Avg Vol (10 day) 3,461.3k
48,2.0,Shares Outstanding 5,66.05M
49,3.0,Float ,64.62M
50,4.0,% Held by Insiders 1,2.19%
51,5.0,% Held by Institutions 1,98.87%
52,6.0,"Shares Short (Oct 15, 2018) 4",1.36M
53,7.0,"Short Ratio (Oct 15, 2018) 4",3.06
54,8.0,"Short % of Float (Oct 15, 2018) 4",2.89%
55,9.0,"Short % of Shares Outstanding (Oct 15, 2018) 4",2.06%
56,10.0,"Shares Short (prior month Sep 14, 2018) 4",1.13M
57,,0,1
58,0.0,Forward Annual Dividend Rate 4,7.44
59,1.0,Forward Annual Dividend Yield 4,2.92%
60,2.0,Trailing Annual Dividend Rate 3,7.22
61,3.0,Trailing Annual Dividend Yield 3,2.84%
62,4.0,5 Year Average Dividend Yield 4,2.71
63,5.0,Payout Ratio 4,127.34%
64,6.0,Dividend Date 3,"Oct 12, 2018"
65,7.0,Ex-Dividend Date 4,"Sep 27, 2018"
66,8.0,Last Split Factor (new per old) 2,
67,9.0,Last Split Date 3,
