,Unnamed: 0,0,1
0,0.0,Market Cap (intraday) 5,20.97B
1,1.0,Enterprise Value 3,23.74B
2,2.0,Trailing P/E ,20.36
3,3.0,Forward P/E 1,8.46
4,4.0,PEG Ratio (5 yr expected) 1,0.78
5,5.0,Price/Sales (ttm),0.93
6,6.0,Price/Book (mrq),2.87
7,7.0,Enterprise Value/Revenue 3,1.06
8,8.0,Enterprise Value/EBITDA 6,8.76
9,,0,1
10,0.0,Fiscal Year Ends ,"Dec 31, 2017"
11,1.0,Most Recent Quarter (mrq),"Jul 1, 2018"
12,,0,1
13,0.0,Profit Margin ,4.67%
14,1.0,Operating Margin (ttm),9.38%
15,,0,1
16,0.0,Return on Assets (ttm),7.49%
17,1.0,Return on Equity (ttm),12.83%
18,,0,1
19,0.0,Revenue (ttm),22.46B
20,1.0,Revenue Per Share (ttm),136.08
21,2.0,Quarterly Revenue Growth (yoy),20.80%
22,3.0,Gross Profit (ttm),5.09B
23,4.0,EBITDA ,2.71B
24,5.0,Net Income Avi to Common (ttm),1.05B
25,6.0,Diluted EPS (ttm),6.32
26,7.0,Quarterly Earnings Growth (yoy),28.50%
27,,0,1
28,0.0,Total Cash (mrq),1.53B
29,1.0,Total Cash Per Share (mrq),9.41
30,2.0,Total Debt (mrq),2.46B
31,3.0,Total Debt/Equity (mrq),30.05
32,4.0,Current Ratio (mrq),1.61
33,5.0,Book Value Per Share (mrq),44.83
34,,0,1
35,0.0,Operating Cash Flow (ttm),1.92B
36,1.0,Levered Free Cash Flow (ttm),694.75M
37,,0,1
38,0.0,Beta (3Y Monthly) ,0.80
39,1.0,52-Week Change 3,-28.82%
40,2.0,S&P500 52-Week Change 3,5.16%
41,3.0,52 Week High 3,194.18
42,4.0,52 Week Low 3,124.87
43,5.0,50-Day Moving Average 3,144.71
44,6.0,200-Day Moving Average 3,144.32
45,,0,1
46,0.0,Avg Vol (3 month) 3,1.48M
47,1.0,Avg Vol (10 day) 3,2.2M
48,2.0,Shares Outstanding 5,162.81M
49,3.0,Float ,162.32M
50,4.0,% Held by Insiders 1,0.27%
51,5.0,% Held by Institutions 1,83.11%
52,6.0,"Shares Short (Oct 15, 2018) 4",3.72M
53,7.0,"Short Ratio (Oct 15, 2018) 4",2.59
54,8.0,"Short % of Float (Oct 15, 2018) 4",2.26%
55,9.0,"Short % of Shares Outstanding (Oct 15, 2018) 4",2.28%
56,10.0,"Shares Short (prior month Sep 14, 2018) 4",3.85M
57,,0,1
58,0.0,Forward Annual Dividend Rate 4,4.56
59,1.0,Forward Annual Dividend Yield 4,3.55%
60,2.0,Trailing Annual Dividend Rate 3,4.32
61,3.0,Trailing Annual Dividend Yield 3,3.37%
62,4.0,5 Year Average Dividend Yield 4,2.56
63,5.0,Payout Ratio 4,67.92%
64,6.0,Dividend Date 3,"Dec 3, 2018"
65,7.0,Ex-Dividend Date 4,"Nov 14, 2018"
66,8.0,Last Split Factor (new per old) 2,2/1
67,9.0,Last Split Date 3,"Jan 3, 2008"
