,Unnamed: 0,keywords,labels,X0,X1
0,0,Forest restoration,0,-0.6802419786685028,0.1455714599797576
1,1,HFC gas emissions,3,-0.6226916404561422,0.097249378824207
2,2,High-throughput sequencing,3,-0.6379725985285412,0.0651340053258856
3,3,Laser precipitation monitor ,3,-0.6306265155372225,0.063412698428438
4,4,Leaf dry matter content,3,-0.6352164718743565,0.0797103445914451
5,5,Leaf stomata density,3,-0.6004788694469568,0.0660518106337802
6,6,Leaf stomata size,3,-0.6176937178876757,0.0746970720009352
7,7,Living status,2,-0.6793027248961712,0.0707355433605455
8,8,Phylogenetic signals,0,-0.68628573819317,0.0855157338941986
9,9,Taxon richness,0,-0.6764970440679484,0.1285731106995261
10,10,Taxonomic family,2,-0.6688260319733642,0.0477088161790503
11,11,Vegetation layer height,3,-0.6294318713201185,0.0684590731766407
12,12,abiotic element,2,-0.6685316877966974,0.074045858096439
13,13,above ground,0,-0.671585075350789,0.1036843151959834
14,14,above-ground,0,-0.671585075350789,0.1036843151959834
15,15,above-ground biomass,3,-0.6295133937211681,0.0841660588056202
16,16,aboveground dry matter biomass,3,-0.6346514298501271,0.0762827176609156
17,17,aboveground wood,2,-0.6791773834351666,0.05926620380512
18,18,african coast,3,-0.6214061063887243,0.1099608213608645
19,19,agricultural land,0,-0.6783026821872231,0.1237498858304953
20,20,air pollution,0,-0.6502620742707474,0.1463173945729277
21,21,algal bloom,2,-0.6675238306359816,0.0733643834873689
22,22,alive tree,3,-0.6273555663667046,0.0895689270793091
23,23,aquatic animal,2,-0.6899860974386186,0.0381761320351265
24,24,aquatic food,0,-0.6771781289262226,0.0817271045144402
25,25,arable land,2,-0.6758557903888226,0.0705660032497746
26,26,atmospheric carbon dioxide,1,-0.56005207961941,0.0827126333851564
27,27,atmospheric co2 concentration,3,-0.5952870385780239,0.0800289710378331
28,28,below ground biomass,3,-0.6264837892886406,0.0814248610297006
29,29,below-ground,0,-0.6561041313702098,0.0892888691446996
30,30,below-ground biomass,3,-0.6264837892886406,0.0814248610297006
31,31,below-ground carbon,3,-0.6275074969329868,0.0786645628218102
32,32,beta-diversity,0,-0.6694409675431631,0.0829198606958266
33,33,biodiversity conservation,0,-0.6823008805194333,0.1130587902885531
34,34,biodiversity conservation policy,3,-0.6068304845471248,0.0361519507961178
35,35,biodiversity crisis,2,-0.6851710886605737,0.0570818781990531
36,36,biodiversity los,3,-0.6519457475196481,0.0726177688370722
37,37,biological community,3,-0.6527272035977612,0.0765227502520181
38,38,biological organization,0,-0.6590234435925649,0.0830146462452602
39,39,biomass_above,3,-0.6465671493739887,0.073221236697738
40,40,biomass_below,3,-0.63355832776991,0.087248336685845
41,41,broad-leaved,3,-0.6308560723302526,0.0775851592861215
42,42,broad-leaved forest,3,-0.6329651649873606,0.060880649890956
43,43,carbon content,3,-0.6339637178708933,0.0739933524351858
