,Unnamed: 0,0,1
0,0.0,Market Cap (intraday) 5,98.21B
1,1.0,Enterprise Value 3,232.52B
2,2.0,Trailing P/E ,
3,3.0,Forward P/E 1,11.77
4,4.0,PEG Ratio (5 yr expected) 1,2.62
5,5.0,Price/Sales (ttm),0.79
6,6.0,Price/Book (mrq),1.78
7,7.0,Enterprise Value/Revenue 3,1.88
8,8.0,Enterprise Value/EBITDA 6,40.77
9,,0,1
10,0.0,Fiscal Year Ends ,"Dec 31, 2017"
11,1.0,Most Recent Quarter (mrq),"Jun 30, 2018"
12,,0,1
13,0.0,Profit Margin ,-5.73%
14,1.0,Operating Margin (ttm),-1.71%
15,,0,1
16,0.0,Return on Assets (ttm),-0.38%
17,1.0,Return on Equity (ttm),-7.45%
18,,0,1
19,0.0,Revenue (ttm),124.04B
20,1.0,Revenue Per Share (ttm),14.28
21,2.0,Quarterly Revenue Growth (yoy),3.50%
22,3.0,Gross Profit (ttm),14.87B
23,4.0,EBITDA ,5.7B
24,5.0,Net Income Avi to Common (ttm),-5.96B
25,6.0,Diluted EPS (ttm),-0.87
26,7.0,Quarterly Earnings Growth (yoy),-24.30%
27,,0,1
28,0.0,Total Cash (mrq),13.41B
29,1.0,Total Cash Per Share (mrq),1.54
30,2.0,Total Debt (mrq),115.57B
31,3.0,Total Debt/Equity (mrq),153.83
32,4.0,Current Ratio (mrq),2.19
33,5.0,Book Value Per Share (mrq),6.34
34,,0,1
35,0.0,Operating Cash Flow (ttm),10.34B
36,1.0,Levered Free Cash Flow (ttm),28.33B
37,,0,1
38,0.0,Beta (3Y Monthly) ,0.85
39,1.0,52-Week Change 3,-42.19%
40,2.0,S&P500 52-Week Change 3,5.16%
41,3.0,52 Week High 3,20.75
42,4.0,52 Week Low 3,11.17
43,5.0,50-Day Moving Average 3,12.37
44,6.0,200-Day Moving Average 3,13.28
45,,0,1
46,0.0,Avg Vol (3 month) 3,73.31M
47,1.0,Avg Vol (10 day) 3,84.23M
48,2.0,Shares Outstanding 5,8.69B
49,3.0,Float ,8.68B
50,4.0,% Held by Insiders 1,0.14%
51,5.0,% Held by Institutions 1,55.50%
52,6.0,"Shares Short (Oct 15, 2018) 4",124.16M
53,7.0,"Short Ratio (Oct 15, 2018) 4",1.13
54,8.0,"Short % of Float (Oct 15, 2018) 4",1.45%
55,9.0,"Short % of Shares Outstanding (Oct 15, 2018) 4",1.43%
56,10.0,"Shares Short (prior month Sep 14, 2018) 4",99.99M
57,,0,1
58,0.0,Forward Annual Dividend Rate 4,0.48
59,1.0,Forward Annual Dividend Yield 4,3.94%
60,2.0,Trailing Annual Dividend Rate 3,0.60
61,3.0,Trailing Annual Dividend Yield 3,5.08%
62,4.0,5 Year Average Dividend Yield 4,3.57
63,5.0,Payout Ratio 4,
64,6.0,Dividend Date 3,"Oct 25, 2018"
65,7.0,Ex-Dividend Date 4,"Sep 14, 2018"
66,8.0,Last Split Factor (new per old) 2,3/1
67,9.0,Last Split Date 3,"May 8, 2000"
