,Unnamed: 0,0,1
0,0.0,Market Cap (intraday) 5,8.31B
1,1.0,Enterprise Value 3,9.97B
2,2.0,Trailing P/E ,14.63
3,3.0,Forward P/E 1,11.84
4,4.0,PEG Ratio (5 yr expected) 1,1.49
5,5.0,Price/Sales (ttm),1.03
6,6.0,Price/Book (mrq),4.03
7,7.0,Enterprise Value/Revenue 3,1.23
8,8.0,Enterprise Value/EBITDA 6,8.55
9,,0,1
10,0.0,Fiscal Year Ends ,"Dec 31, 2017"
11,1.0,Most Recent Quarter (mrq),"Jun 30, 2018"
12,,0,1
13,0.0,Profit Margin ,7.14%
14,1.0,Operating Margin (ttm),12.37%
15,,0,1
16,0.0,Return on Assets (ttm),5.21%
17,1.0,Return on Equity (ttm),26.49%
18,,0,1
19,0.0,Revenue (ttm),8.09B
20,1.0,Revenue Per Share (ttm),21.01
21,2.0,Quarterly Revenue Growth (yoy),6.20%
22,3.0,Gross Profit (ttm),2.81B
23,4.0,EBITDA ,1.17B
24,5.0,Net Income Avi to Common (ttm),578.3M
25,6.0,Diluted EPS (ttm),1.48
26,7.0,Quarterly Earnings Growth (yoy),35.40%
27,,0,1
28,0.0,Total Cash (mrq),493.2M
29,1.0,Total Cash Per Share (mrq),1.28
30,2.0,Total Debt (mrq),2.04B
31,3.0,Total Debt/Equity (mrq),90.39
32,4.0,Current Ratio (mrq),0.94
33,5.0,Book Value Per Share (mrq),5.37
34,,0,1
35,0.0,Operating Cash Flow (ttm),477.2M
36,1.0,Levered Free Cash Flow (ttm),269.98M
37,,0,1
38,0.0,Beta (3Y Monthly) ,0.94
39,1.0,52-Week Change 3,3.68%
40,2.0,S&P500 52-Week Change 3,8.19%
41,3.0,52 Week High 3,26.01
42,4.0,52 Week Low 3,18.30
43,5.0,50-Day Moving Average 3,22.84
44,6.0,200-Day Moving Average 3,23.05
45,,0,1
46,0.0,Avg Vol (3 month) 3,4.09M
47,1.0,Avg Vol (10 day) 3,6.61M
48,2.0,Shares Outstanding 5,383.78M
49,3.0,Float ,381.18M
50,4.0,% Held by Insiders 1,0.66%
51,5.0,% Held by Institutions 1,104.35%
52,6.0,"Shares Short (Sep 28, 2018) 4",24.61M
53,7.0,"Short Ratio (Sep 28, 2018) 4",6.94
54,8.0,"Short % of Float (Sep 28, 2018) 4",8.10%
55,9.0,"Short % of Shares Outstanding (Sep 28, 2018) 4",6.41%
56,10.0,"Shares Short (prior month Aug 31, 2018) 4",24.94M
57,,0,1
58,0.0,Forward Annual Dividend Rate 4,0.84
59,1.0,Forward Annual Dividend Yield 4,3.92%
60,2.0,Trailing Annual Dividend Rate 3,0.78
61,3.0,Trailing Annual Dividend Yield 3,3.64%
62,4.0,5 Year Average Dividend Yield 4,2.44
63,5.0,Payout Ratio 4,53.06%
64,6.0,Dividend Date 3,"Sep 18, 2018"
65,7.0,Ex-Dividend Date 4,"Aug 31, 2018"
66,8.0,Last Split Factor (new per old) 2,2/1
67,9.0,Last Split Date 3,"Jul 16, 1999"
