,Unnamed: 0,0,1
0,0.0,Market Cap (intraday) 5,42.57B
1,1.0,Enterprise Value 3,49.98B
2,2.0,Trailing P/E ,27.73
3,3.0,Forward P/E 1,24.43
4,4.0,PEG Ratio (5 yr expected) 1,2.05
5,5.0,Price/Sales (ttm),2.96
6,6.0,Price/Book (mrq),5.42
7,7.0,Enterprise Value/Revenue 3,3.48
8,8.0,Enterprise Value/EBITDA 6,16.53
9,,0,1
10,0.0,Fiscal Year Ends ,"Dec 31, 2017"
11,1.0,Most Recent Quarter (mrq),"Jun 30, 2018"
12,,0,1
13,0.0,Profit Margin ,10.84%
14,1.0,Operating Margin (ttm),14.62%
15,,0,1
16,0.0,Return on Assets (ttm),6.65%
17,1.0,Return on Equity (ttm),21.09%
18,,0,1
19,0.0,Revenue (ttm),14.38B
20,1.0,Revenue Per Share (ttm),49.77
21,2.0,Quarterly Revenue Growth (yoy),6.60%
22,3.0,Gross Profit (ttm),6.48B
23,4.0,EBITDA ,3.02B
24,5.0,Net Income Avi to Common (ttm),1.56B
25,6.0,Diluted EPS (ttm),5.31
26,7.0,Quarterly Earnings Growth (yoy),19.20%
27,,0,1
28,0.0,Total Cash (mrq),54.2M
29,1.0,Total Cash Per Share (mrq),0.19
30,2.0,Total Debt (mrq),7.22B
31,3.0,Total Debt/Equity (mrq),91.26
32,4.0,Current Ratio (mrq),1.27
33,5.0,Book Value Per Share (mrq),27.17
34,,0,1
35,0.0,Operating Cash Flow (ttm),2.02B
36,1.0,Levered Free Cash Flow (ttm),1.19B
37,,0,1
38,0.0,Beta (3Y Monthly) ,0.91
39,1.0,52-Week Change 3,14.65%
40,2.0,S&P500 52-Week Change 3,5.16%
41,3.0,52 Week High 3,159.92
42,4.0,52 Week Low 3,125.74
43,5.0,50-Day Moving Average 3,153.49
44,6.0,200-Day Moving Average 3,147.28
45,,0,1
46,0.0,Avg Vol (3 month) 3,1.04M
47,1.0,Avg Vol (10 day) 3,1.39M
48,2.0,Shares Outstanding 5,288.9M
49,3.0,Float ,256.74M
50,4.0,% Held by Insiders 1,0.49%
51,5.0,% Held by Institutions 1,88.78%
52,6.0,"Shares Short (Oct 15, 2018) 4",5.04M
53,7.0,"Short Ratio (Oct 15, 2018) 4",4.85
54,8.0,"Short % of Float (Oct 15, 2018) 4",1.98%
55,9.0,"Short % of Shares Outstanding (Oct 15, 2018) 4",1.75%
56,10.0,"Shares Short (prior month Sep 14, 2018) 4",5.48M
57,,0,1
58,0.0,Forward Annual Dividend Rate 4,1.64
59,1.0,Forward Annual Dividend Yield 4,1.09%
60,2.0,Trailing Annual Dividend Rate 3,1.60
61,3.0,Trailing Annual Dividend Yield 3,1.07%
62,4.0,5 Year Average Dividend Yield 4,1.09
63,5.0,Payout Ratio 4,30.13%
64,6.0,Dividend Date 3,"Oct 15, 2018"
65,7.0,Ex-Dividend Date 4,"Sep 17, 2018"
66,8.0,Last Split Factor (new per old) 2,2/1
67,9.0,Last Split Date 3,"Jun 9, 2003"
