,Unnamed: 0,0,1
0,0.0,Market Cap (intraday) 5,15.57B
1,1.0,Enterprise Value 3,12.48B
2,2.0,Trailing P/E ,38.93
3,3.0,Forward P/E 1,24.83
4,4.0,PEG Ratio (5 yr expected) 1,3.67
5,5.0,Price/Sales (ttm),4.35
6,6.0,Price/Book (mrq),6.59
7,7.0,Enterprise Value/Revenue 3,3.49
8,8.0,Enterprise Value/EBITDA 6,15.67
9,,0,1
10,0.0,Fiscal Year Ends ,"Dec 31, 2017"
11,1.0,Most Recent Quarter (mrq),"Jun 30, 2018"
12,,0,1
13,0.0,Profit Margin ,8.35%
14,1.0,Operating Margin (ttm),18.80%
15,,0,1
16,0.0,Return on Assets (ttm),9.05%
17,1.0,Return on Equity (ttm),17.38%
18,,0,1
19,0.0,Revenue (ttm),3.58B
20,1.0,Revenue Per Share (ttm),45.27
21,2.0,Quarterly Revenue Growth (yoy),9.20%
22,3.0,Gross Profit (ttm),1.51B
23,4.0,EBITDA ,796.65M
24,5.0,Net Income Avi to Common (ttm),297.67M
25,6.0,Diluted EPS (ttm),3.75
26,7.0,Quarterly Earnings Growth (yoy),-9.70%
27,,0,1
28,0.0,Total Cash (mrq),322.42M
29,1.0,Total Cash Per Share (mrq),4.08
30,2.0,Total Debt (mrq),1.75B
31,3.0,Total Debt/Equity (mrq),99.79
32,4.0,Current Ratio (mrq),2.90
33,5.0,Book Value Per Share (mrq),22.14
34,,0,1
35,0.0,Operating Cash Flow (ttm),388M
36,1.0,Levered Free Cash Flow (ttm),220.14M
37,,0,1
38,0.0,Beta (3Y Monthly) ,0.95
39,1.0,52-Week Change 3,-0.17%
40,2.0,S&P500 52-Week Change 3,5.76%
41,3.0,52 Week High 3,157.40
42,4.0,52 Week Low 3,122.11
43,5.0,50-Day Moving Average 3,138.54
44,6.0,200-Day Moving Average 3,131.91
45,,0,1
46,0.0,Avg Vol (3 month) 3,1.19M
47,1.0,Avg Vol (10 day) 3,908.91k
48,2.0,Shares Outstanding 5,106.65M
49,3.0,Float ,65.42M
50,4.0,% Held by Insiders 1,0.23%
51,5.0,% Held by Institutions 1,89.59%
52,6.0,"Shares Short (Oct 15, 2018) 4",4.43M
53,7.0,"Short Ratio (Oct 15, 2018) 4",2.64
54,8.0,"Short % of Float (Oct 15, 2018) 4",7.46%
55,9.0,"Short % of Shares Outstanding (Oct 15, 2018) 4",4.15%
56,10.0,"Shares Short (prior month Sep 14, 2018) 4",4M
57,,0,1
58,0.0,Forward Annual Dividend Rate 4,2.92
59,1.0,Forward Annual Dividend Yield 4,2.00%
60,2.0,Trailing Annual Dividend Rate 3,2.76
61,3.0,Trailing Annual Dividend Yield 3,1.89%
62,4.0,5 Year Average Dividend Yield 4,1.77
63,5.0,Payout Ratio 4,73.60%
64,6.0,Dividend Date 3,"Oct 5, 2018"
65,7.0,Ex-Dividend Date 4,"Sep 21, 2018"
66,8.0,Last Split Factor (new per old) 2,3/1
67,9.0,Last Split Date 3,"Jan 20, 1994"
