,ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
0,2998742,comment,2998665.0,2998665.0,1,0,rgraham,,,"I built a system around Shibboleth at a University several years ago. We did some extra work to improve the UX. I'm not sure how installing Shibboleth itself went, but from an API use perspective I can't complain.<p>OpenID might be a better choice these days. It was more dream than reality when we picked Shib. If OpenID isn't an option...I'd vote for Shib over cobbling something together yourself from AD.",1316055449.0
1,2998741,comment,2998276.0,2998276.0,2,0,niels_olson,,,Serious question: is this a piece of protest performance art?,1316055427.0
2,2998740,story,,,1,0,ayasoso,Burberry Top Handles Bag Beige Check Red Patent Leather,http://www.bagfour.com/burberry-top-handles-bag-beige-check-red-patent-leather,,1316055411.0
3,2998739,story,,,6,0,yummyfajitas,Exposure to male hormones in-utero makes women more interested in science,http://psy2.ucsd.edu/~mgorman/Berenbaum.pdf,,1316055393.0
4,2998738,story,,,1,0,starlight87,Is reading fiction good for you?,http://www.farnamstreetblog.com/2011/09/is-reading-fiction-good-for-you/,,1316055334.0
5,2998737,comment,2998591.0,2998591.0,15,0,Mizza,,,"I've noticed this need as well, and launched something similar: <a href=""http://gun.io"" rel=""nofollow"">http://gun.io</a><p>It's free for Open Source, and a 10% fee for non-Free projects. Winner-take-all!<p>Hopefully we'll both work to create a culture which helps independent developers help each other. Good luck! Email me if you're interested in collaboration.",1316055330.0
6,2998736,comment,2998591.0,2998687.0,1,0,olliesaunders,,,It looks better that way anyway.,1316055309.0
7,2998735,comment,2998180.0,2998180.0,5,0,zmmmmm,,,"> Tradeoffs. Mutually exclusive tradeoffs. Separate devices are required. ...  And you cant give iOS apps even the option to run continuously in the background without sacrificing battery life and foreground app performance<p>This is a typical Gruberism of false logic.  He starts with the notion that all Apple's decisions are holy and right.  He then derives conclusions by extrapolating from that.<p>There is no reason that tablets cannot achieve fantastic battery life while running background processes.  They certainly need to be designed to achieve it. Existing Android tablets support background processes and multitasking and get comparable battery life to the iPad - typically we're talking a sacrifice of < 10% battery life to achieve an incredible expansion of utility.  And this is not taking into account the fact that Android is a less efficient OS overall (utilizing less hardware acceleration, running most tasks inside a Dalvik VM instead of native, etc.)  Even the iPad itself evidently does background processing as you can have it play music, give you calendar reminders and all kinds of other things happen <i>in the background</i> even when it is in sleep state.",1316055265.0
8,2998734,comment,2998296.0,2998715.0,2,0,heartsteachers,,,"Very true, the feeling of ""they don't get nearly enough thanks"" is one of the reasons for the site. although sometimes we don't realize it right away, teachers can really change our lives.",1316055227.0
9,2998733,story,,,1,0,chinaskl1,Remedios caseros,http://remedios-caseros.biz/,Remedios Caseros para el mundo,1316055203.0
10,2998732,comment,2998591.0,2998685.0,1,0,jmonegro,,,"It's more stylish, of course :)",1316055189.0
11,2998731,comment,2998591.0,2998719.0,1,0,jmonegro,,,"Well, your request for work gets sent to all the relevant subscribers (i.e. if you need a developer, to all the developers on the list).<p>The ones interested make it known and then you can get in contact with them and decide who you wanna work for.",1316055154.0
12,2998730,story,,,45,7,wakeless,Google Flight Search means little for Adioso & Hipmunk,http://tomhoward.co/why-googles-move-into-flight-search-means-lit,,1316055133.0
