,ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
0,10568991,comment,10568700.0,10568700.0,0,0,stenl,,,&quot;whether coherent quantum processes play a nontrivial role in biology&quot; (from the paper) is very controversial. The idea was that coherence would make photosynthesis more efficient. If they&,
1,10568990,comment,10562207.0,10564979.0,0,0,conceit,,,sounds like cm is used as a testing channel for new features.,1447577977.0
2,10568989,comment,10568672.0,10568950.0,0,0,thaumasiotes,,,You&,
3,10568988,comment,10568734.0,10568734.0,0,0,trhway,,,instead of remembering passwords i remember only one  function i&,
4,10568987,comment,10565880.0,10565880.0,0,0,benkant,,,"We were writing web based GIS in 1996, using ESRI&",
5,10568986,comment,10568705.0,10568705.0,0,0,acd,,,Using zfs in production virtualization it´s fast and provides good integrity. You can basically get some of the hyped features of Docker the copyonwrite filesystem part with ordinary Linux virtualization.,1447577889.0
6,10568985,comment,10567269.0,10567515.0,0,0,Mithaldu,,,"Haha, i read the version as &quot;woot&quot;.",1447577794.0
7,10568984,comment,10568137.0,10568461.0,0,0,thedz,,,"Echoing others, I&",
8,10568983,comment,10559387.0,10568110.0,0,0,spronkey,,,"Heh, I should qualify that to become an expert some manual-reading is required. But the interface should at least help you with the transition.",1447577729.0
9,10568981,comment,10567603.0,10567603.0,0,0,dang,,,"Url changed from <a href=""https://recode.net/2015/11/13/how-startups-ratchet-up-their-valuation/"" rel=""nofollow"">https://recode.net/2015/11/13/how-startups-ratchet-up-their-...</a>, which points to this.",1447577707.0
10,10568980,comment,10568672.0,10568965.0,0,0,m12k,,,Here&,
11,10568979,comment,10567821.0,10567821.0,0,0,dang,,,"Url changed from <a href=""http://gizmodo.com/a-new-study-challenges-assumptions-about-the-origins-of-1742474825"" rel=""nofollow"">http://gizmodo.com/a-new-study-challenges-assumptions-about-...</a>, which points to this.",1447577665.0
12,10568978,comment,10568525.0,10568972.0,0,0,zaidf,,,<i>It&,
13,10568977,story,,,12,2,uxhacker,Women from Apple’s Early Days Recall Working with Steve Jobs,http://recode.net/2015/11/02/women-from-apples-early-days-recall-life-with-steve-jobs/,,1447577643.0
14,10568976,comment,10562377.0,10568803.0,0,0,fractallyte,,,"So, like a (real-life) marine version of the melange/spice produced by the sandworms of Dune/Arrakis...? ;-)",1447577586.0
15,10568975,comment,10565032.0,10565032.0,0,0,peterashford,,,Take some deep breaths.  Stay the knee-jerk responses.  Allow heads to cool.<p>Suggesting that there&,
16,10568974,comment,10568525.0,10568649.0,0,0,zaidf,,,No one doubts that the open web is a good thing. But no where in your entire post do you address the apparent upside of Internet.org: people who wouldn&,
17,10568973,comment,10568137.0,10568482.0,0,0,thedz,,,"In contrast, it baffles me that some don&",
18,10568972,comment,10568525.0,10568525.0,0,0,halfcentaur,,,I&,
19,10568971,comment,10566731.0,10566731.0,0,0,azernik,,,Apps that change their users&,
20,10568970,comment,10568672.0,10568672.0,0,0,ericschmidt,,,What a conceptually interesting article. There are a few cool framing devices in here.<p>I like how is using English to describe how English is weird. That&,
21,10568969,comment,10552932.0,10566533.0,0,0,digi_owl,,,"Thanks. Reminds me that various file explorers do not call it a cut, but a move. They just reuse the same keyboard shortcut as the cut found in text editors.",1447577220.0
22,10568968,comment,10566735.0,10568795.0,0,0,raverbashing,,,"Yes, this is an interesting question.<p>Exclude all non-static ads (flash/etc). Get the whole size of the ad (and associated JS) and the information it collects from the user and &",
23,10568967,comment,10558111.0,10562854.0,0,0,executesorder66,,,"That is why I said accelerate _slower_ than the person in front of you to build a gap. (Once you are on the other side of the traffic light)<p>When the light goes green everyone should go at the exact same time and acceleration. Because you just started moving your speed is very low, so you don&",
24,10568966,comment,10565605.0,10565605.0,0,0,SixSigma,,,"Hope you guys had a good time. I still miss Uriel. I hope someone stood in for him and ripped your ideas apart, particularly the C++.",1447577160.0
25,10568965,comment,10568672.0,10568672.0,0,0,Mithaldu,,,As a german the commentary here strikes me as sadly defensive.<p>I&,
26,10568964,comment,10567624.0,10568448.0,0,0,thedz,,,> I really want to support open source efforts.<p>That&,
27,10568963,comment,10568818.0,10568818.0,0,0,ColinWright,,,Wrong link?,1447576991.0
28,10568962,comment,10566859.0,10568947.0,0,0,DanBC,,,"> By &quot;intolerance&quot; I mean &quot;having consequences beyond having people disagree with you,&quot; for example, making you lose your job.<p>Does institutional racism and sexism and homophobia - which prevent some people even getting a job - count?",1447576978.0
29,10568961,comment,10562207.0,10566491.0,0,0,digi_owl,,,Depends on where in the world you lived...,1447576974.0
30,10568960,comment,10562207.0,10565581.0,0,0,digi_owl,,,"Still own a SE C702, and it has served me well.",1447576947.0
31,10568959,comment,10567232.0,10568752.0,0,0,brobinson,,,"Thanks for the clarification!  What if instead of the sender goroutine setting the pointer to nil, the GC frees the object that the pointer was pointing to before the recipient goroutine reads it?  Wouldn&",
32,10568958,comment,10555672.0,10566622.0,0,0,digi_owl,,,"Earnings on savings are independent of debt repayments.<p>If you look at page 3 of the document, it talks about how repayments are basically an accounting alteration of the debtors deposit account.<p>Meaning that said account is reduced by the mount paid, but does not show up with a matching increase on any other account ledger (the banks own or any other).<p>Debt and savings are wholly uncoupled, no matter what mainstream economics likes to think.",1447576910.0
33,10568957,comment,10558436.0,10559967.0,0,0,jancborchardt,,,"You’re welcome! Let us know of any issues or feedback at <a href=""https://github.com/owncloud/news/issues"" rel=""nofollow"">https://github.com/owncloud/news/issues</a> :)",1447576848.0
34,10568956,comment,10568672.0,10568672.0,0,0,pazimzadeh,,,"Having learned English as my third language (after French and Farsi) I found it more streamlined, full of shortcuts and easier to pick up than any other language. Not sure if that counts as weird.",1447576846.0
35,10568955,comment,10568525.0,10568800.0,0,0,xorcist,,,Apart from what&,
36,10568954,comment,10559037.0,10568724.0,0,0,quacker,,,"That was surprising. Those are some very, very permissive licenses and pretty widely used, too. Just today I wrote a plugin and stuck an MIT license on it. The only requirement is basically that you keep the license/copyright with all copies of the code. Is that really so much baggage?",1447576821.0
