,Unnamed: 0,0,1
0,0.0,Market Cap (intraday) 5,9.42B
1,1.0,Enterprise Value 3,12.53B
2,2.0,Trailing P/E ,33.51
3,3.0,Forward P/E 1,38.11
4,4.0,PEG Ratio (5 yr expected) 1,5.71
5,5.0,Price/Sales (ttm),10.58
6,6.0,Price/Book (mrq),4.43
7,7.0,Enterprise Value/Revenue 3,14.07
8,8.0,Enterprise Value/EBITDA 6,22.10
9,,0,1
10,0.0,Fiscal Year Ends ,"Dec 31, 2017"
11,1.0,Most Recent Quarter (mrq),"Jun 30, 2018"
12,,0,1
13,0.0,Profit Margin ,31.69%
14,1.0,Operating Margin (ttm),38.41%
15,,0,1
16,0.0,Return on Assets (ttm),3.53%
17,1.0,Return on Equity (ttm),12.17%
18,,0,1
19,0.0,Revenue (ttm),890.66M
20,1.0,Revenue Per Share (ttm),12.26
21,2.0,Quarterly Revenue Growth (yoy),7.80%
22,3.0,Gross Profit (ttm),593.21M
23,4.0,EBITDA ,567M
24,5.0,Net Income Avi to Common (ttm),275.08M
25,6.0,Diluted EPS (ttm),3.79
26,7.0,Quarterly Earnings Growth (yoy),-16.60%
27,,0,1
28,0.0,Total Cash (mrq),56.52M
29,1.0,Total Cash Per Share (mrq),0.77
30,2.0,Total Debt (mrq),3.32B
31,3.0,Total Debt/Equity (mrq),131.30
32,4.0,Current Ratio (mrq),1.87
33,5.0,Book Value Per Share (mrq),28.66
34,,0,1
35,0.0,Operating Cash Flow (ttm),483.63M
36,1.0,Levered Free Cash Flow (ttm),236.97M
37,,0,1
38,0.0,Beta (3Y Monthly) ,0.31
39,1.0,52-Week Change 3,3.97%
40,2.0,S&P500 52-Week Change 3,2.56%
41,3.0,52 Week High 3,134.52
42,4.0,52 Week Low 3,106.41
43,5.0,50-Day Moving Average 3,124.70
44,6.0,200-Day Moving Average 3,122.83
45,,0,1
46,0.0,Avg Vol (3 month) 3,406.91k
47,1.0,Avg Vol (10 day) 3,481.02k
48,2.0,Shares Outstanding 5,73.49M
49,3.0,Float ,72.9M
50,4.0,% Held by Insiders 1,0.82%
51,5.0,% Held by Institutions 1,97.92%
52,6.0,"Shares Short (Oct 15, 2018) 4",3.28M
53,7.0,"Short Ratio (Oct 15, 2018) 4",7.31
54,8.0,"Short % of Float (Oct 15, 2018) 4",6.30%
55,9.0,"Short % of Shares Outstanding (Oct 15, 2018) 4",4.47%
56,10.0,"Shares Short (prior month Sep 14, 2018) 4",2.74M
57,,0,1
58,0.0,Forward Annual Dividend Rate 4,4.08
59,1.0,Forward Annual Dividend Yield 4,3.33%
60,2.0,Trailing Annual Dividend Rate 3,4.00
61,3.0,Trailing Annual Dividend Yield 3,3.19%
62,4.0,5 Year Average Dividend Yield 4,2.74
63,5.0,Payout Ratio 4,139.18%
64,6.0,Dividend Date 3,"Oct 15, 2018"
65,7.0,Ex-Dividend Date 4,"Sep 20, 2018"
66,8.0,Last Split Factor (new per old) 2,3/2
67,9.0,Last Split Date 3,"Nov 6, 1985"
