,Unnamed: 0,0,1
0,0.0,Market Cap (intraday) 5,10.83B
1,1.0,Enterprise Value 3,13.39B
2,2.0,Trailing P/E ,11.04
3,3.0,Forward P/E 1,11.94
4,4.0,PEG Ratio (5 yr expected) 1,0.48
5,5.0,Price/Sales (ttm),2.64
6,6.0,Price/Book (mrq),3.62
7,7.0,Enterprise Value/Revenue 3,3.27
8,8.0,Enterprise Value/EBITDA 6,11.71
9,,0,1
10,0.0,Fiscal Year Ends ,"Dec 31, 2017"
11,1.0,Most Recent Quarter (mrq),"Jun 30, 2018"
12,,0,1
13,0.0,Profit Margin ,23.96%
14,1.0,Operating Margin (ttm),24.46%
15,,0,1
16,0.0,Return on Assets (ttm),7.98%
17,1.0,Return on Equity (ttm),8.89%
18,,0,1
19,0.0,Revenue (ttm),4.1B
20,1.0,Revenue Per Share (ttm),30.46
21,2.0,Quarterly Revenue Growth (yoy),92.20%
22,3.0,Gross Profit (ttm),1.12B
23,4.0,EBITDA ,1.14B
24,5.0,Net Income Avi to Common (ttm),216.5M
25,6.0,Diluted EPS (ttm),7.29
26,7.0,Quarterly Earnings Growth (yoy),73.60%
27,,0,1
28,0.0,Total Cash (mrq),326.4M
29,1.0,Total Cash Per Share (mrq),2.42
30,2.0,Total Debt (mrq),3.07B
31,3.0,Total Debt/Equity (mrq),101.38
32,4.0,Current Ratio (mrq),1.63
33,5.0,Book Value Per Share (mrq),22.25
34,,0,1
35,0.0,Operating Cash Flow (ttm),268.8M
36,1.0,Levered Free Cash Flow (ttm),1.23B
37,,0,1
38,0.0,Beta (3Y Monthly) ,1.34
39,1.0,52-Week Change 3,-10.37%
40,2.0,S&P500 52-Week Change 3,5.76%
41,3.0,52 Week High 3,98.70
42,4.0,52 Week Low 3,72.73
43,5.0,50-Day Moving Average 3,84.57
44,6.0,200-Day Moving Average 3,86.29
45,,0,1
46,0.0,Avg Vol (3 month) 3,1.06M
47,1.0,Avg Vol (10 day) 3,1.22M
48,2.0,Shares Outstanding 5,134.63M
49,3.0,Float ,125.56M
50,4.0,% Held by Insiders 1,0.86%
51,5.0,% Held by Institutions 1,92.30%
52,6.0,"Shares Short (Oct 15, 2018) 4",5.12M
53,7.0,"Short Ratio (Oct 15, 2018) 4",4.27
54,8.0,"Short % of Float (Oct 15, 2018) 4",4.27%
55,9.0,"Short % of Shares Outstanding (Oct 15, 2018) 4",3.80%
56,10.0,"Shares Short (prior month Sep 14, 2018) 4",4.3M
57,,0,1
58,0.0,Forward Annual Dividend Rate 4,0.66
59,1.0,Forward Annual Dividend Yield 4,0.81%
60,2.0,Trailing Annual Dividend Rate 3,0.66
61,3.0,Trailing Annual Dividend Yield 3,0.81%
62,4.0,5 Year Average Dividend Yield 4,1.06
63,5.0,Payout Ratio 4,41.77%
64,6.0,Dividend Date 3,"Oct 18, 2018"
65,7.0,Ex-Dividend Date 4,"Sep 27, 2018"
66,8.0,Last Split Factor (new per old) 2,2/1
67,9.0,Last Split Date 3,"May 25, 2012"
